web-scraper-order,web-scraper-start-url,movies,movies-href,title,summary,rating
1543444838-108,https://www.imdb.com/name/nm0000115/,Raising Arizona,https://www.imdb.com/title/tt0093822/?ref_=nm_flmg_act_88,Raising Arizona (1987),"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",7.4
1543445100-194,https://www.imdb.com/name/nm0000115/,Grand Isle,https://www.imdb.com/title/tt8380776/?ref_=nm_flmg_act_2,Grand Isle,A young father is charged for murder and must prove his innocence through recalling a very twisted and dark night of events.,null
1543444885-124,https://www.imdb.com/name/nm0000115/,Kiss of Death,https://www.imdb.com/title/tt0113552/?ref_=nm_flmg_act_72,Kiss of Death (1995),A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.,5.9
1543445070-181,https://www.imdb.com/name/nm0000115/,Mom and Dad,https://www.imdb.com/title/tt5462326/?ref_=nm_flmg_act_15,Mom and Dad (2017),A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.,5.5
1543445095-192,https://www.imdb.com/name/nm0000115/,A Score to Settle,https://www.imdb.com/title/tt3758162/?ref_=nm_flmg_act_4,A Score to Settle,An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 22 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.,null
1543444861-116,https://www.imdb.com/name/nm0000115/,Zandalee,https://www.imdb.com/title/tt0101004/?ref_=nm_flmg_act_80,Zandalee (1991),"Bored with her marriage to burnt out poet turned corporate executive Thierry, Zandalee falls prey to an old friend of her husband, the manipulative and egotistical Johhny and becomes ...
                    See full summary »",4.4
1543444835-107,https://www.imdb.com/name/nm0000115/,Peggy Sue Got Married,https://www.imdb.com/title/tt0091738/?ref_=nm_flmg_act_89,Peggy Sue Got Married (1986),"Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",6.3
1543445048-172,https://www.imdb.com/name/nm0000115/,Pay the Ghost,https://www.imdb.com/title/tt3733778/?ref_=nm_flmg_act_24,Pay the Ghost (2015),A professor frantically searches for his son who was abducted during a Halloween carnival.,5.2
1543445063-178,https://www.imdb.com/name/nm0000115/,Arsenal,https://www.imdb.com/title/tt5580536/?ref_=nm_flmg_act_18,Arsenal (2017),A Southern mobster attempts to rescue his kidnapped brother.,4.0
1543445000-158,https://www.imdb.com/name/nm0000115/,Season of the Witch,https://www.imdb.com/title/tt0479997/?ref_=nm_flmg_act_38,Season of the Witch (2011),"Fourteenth century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.",5.4
1543444950-144,https://www.imdb.com/name/nm0000115/,The Ant Bully,https://www.imdb.com/title/tt0429589/?ref_=nm_flmg_act_52,The Ant Bully (2006),"After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",5.8
1543444927-138,https://www.imdb.com/name/nm0000115/,Sonny,https://www.imdb.com/title/tt0305973/?ref_=nm_flmg_act_58,Sonny (2002),"An honorably discharged soldier returns home to New Orleans, hoping to break away from his upbringing as a trained prostitute, but his brothel-madam mother has other expectations.",5.7
1543444956-146,https://www.imdb.com/name/nm0000115/,The Wicker Man,https://www.imdb.com/title/tt0450345/?ref_=nm_flmg_act_50,The Wicker Man (2006),"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.",3.7
1543444921-136,https://www.imdb.com/name/nm0000115/,A Christmas Carol,https://www.imdb.com/title/tt0259929/?ref_=nm_flmg_act_60,A Christmas Carol (2001),An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,5.6
1543444973-150,https://www.imdb.com/name/nm0000115/,National Treasure: Book of Secrets,https://www.imdb.com/title/tt0465234/?ref_=nm_flmg_act_46,National Treasure: Book of Secrets (2007),Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,6.5
1543445022-163,https://www.imdb.com/name/nm0000115/,Stolen,https://www.imdb.com/title/tt1656186/?ref_=nm_flmg_act_33,Stolen (2012),"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",5.5
1543444874-120,https://www.imdb.com/name/nm0000115/,Deadfall,https://www.imdb.com/title/tt0106684/?ref_=nm_flmg_act_76,Deadfall (1993),"After he accidentally kills his father, Mike, during a sting, Joe tries to carry out Mike's dying wish by recovering valuables that Mike's twin brother Lou stole from him years earlier. But...
                    See full summary »",3.8
